Sector,Category of Employee,Grade / Service Details,Year of Service,Rate Type,Rate,Effective From,Notes
Light Metal Industry,Blacksmith / Cabinet Maker / Electrician / Fitter / Machine Operator / Mechanic / Painter / Panel Beater / Pipe Bender / Trimmer / Turner / Upholsterer / Welder,Grade III,5th year and thereafter,monthly,16964,2024-01-01,
Light Metal Industry,Apprentice,,1st year,monthly,16500,2024-01-01,
Light Metal Industry,Apprentice,,2nd year,monthly,16500,2024-01-01,
Light Metal Industry,Apprentice,,3rd year,monthly,16500,2024-01-01,
Light Metal Industry,Apprentice,,4th year,monthly,16500,2024-01-01,
Light Metal Industry,Apprentice,,5th year and thereafter,monthly,16500,2024-01-01,
Light Metal Industry,Driver,Grade I,1st year,monthly,17969,2024-01-01,
Light Metal Industry,Driver,Grade I,2nd year,monthly,18025,2024-01-01,
Light Metal Industry,Driver,Grade I,3rd year,monthly,18080,2024-01-01,
Light Metal Industry,Driver,Grade I,4th year,monthly,18193,2024-01-01,
Light Metal Industry,Driver,Grade I,5th year and thereafter,monthly,18248,2024-01-01,
Light Metal Industry,Driver,Grade II,1st year,monthly,17720,2024-01-01,
Light Metal Industry,Driver,Grade II,2nd year,monthly,17775,2024-01-01,
Light Metal Industry,Driver,Grade II,3rd year,monthly,17828,2024-01-01,
Light Metal Industry,Driver,Grade II,4th year,monthly,17882,2024-01-01,
Light Metal Industry,Driver,Grade II,5th year and thereafter,monthly,17936,2024-01-01,
Light Metal Industry,Driver,Grade III,1st year,monthly,17458,2024-01-01,
Light Metal Industry,Driver,Grade III,2nd year,monthly,17515,2024-01-01,
Light Metal Industry,Driver,Grade III,3rd year,monthly,17572,2024-01-01,
Light Metal Industry,Driver,Grade III,4th year,monthly,17629,2024-01-01,
Light Metal Industry,Driver,Grade III,5th year and thereafter,monthly,17693,2024-01-01,
Light Metal Industry,Store Attendant,,1st year,monthly,16500,2024-01-01,
Light Metal Industry,Store Attendant,,2nd year,monthly,16500,2024-01-01,
Light Metal Industry,Store Attendant,,3rd year,monthly,16500,2024-01-01,
Light Metal Industry,Store Attendant,,4th year and thereafter,monthly,16500,2024-01-01,
Livestock Industry,Supervisor,,1st year,monthly,17696,2024-01-01,
Livestock Industry,Supervisor,,2nd year,monthly,17847,2024-01-01,
Livestock Industry,Supervisor,,3rd year,monthly,18000,2024-01-01,
Livestock Industry,Supervisor,,4th year,monthly,18271,2024-01-01,
Livestock Industry,Supervisor,,5th year & thereafter,monthly,18481,2024-01-01,
Livestock Industry,Farm Employee,Grade I,,monthly,17211,2024-01-01,
Livestock Industry,Farm Employee,Grade II,,monthly,16500,2024-01-01,
Media Industry,Journalist / Secretaire de Redaction / Caricaturist / Radio Presenter,,1st year,monthly,25925,2024-01-01,
Media Industry,Journalist / Secretaire de Redaction / Caricaturist / Radio Presenter,,2nd year,monthly,26425,2024-01-01,
Media Industry,Journalist / Secretaire de Redaction / Caricaturist / Radio Presenter,,3rd year,monthly,26925,2024-01-01,
Media Industry,Journalist / Secretaire de Redaction / Caricaturist / Radio Presenter,,4th year,monthly,27425,2024-01-01,
Media Industry,Journalist / Secretaire de Redaction / Caricaturist / Radio Presenter,,5th year,monthly,27925,2024-01-01,
Media Industry,Journalist / Secretaire de Redaction / Caricaturist / Radio Presenter,,6th year,monthly,28425,2024-01-01,
Media Industry,Journalist / Secretaire de Redaction / Caricaturist / Radio Presenter,,7th year,monthly,28925,2024-01-01,
Media Industry,Journalist / Secretaire de Redaction / Caricaturist / Radio Presenter,,8th year,monthly,29425,2024-01-01,
Media Industry,Journalist / Secretaire de Redaction / Caricaturist / Radio Presenter,,9th year,monthly,29925,2024-01-01,
Media Industry,Journalist / Secretaire de Redaction / Caricaturist / Radio Presenter,,10th year & thereafter,monthly,30425,2024-01-01,
Media Industry,Junior Journalist / Photographer / Videographer / Audiovisual Editor / Radio Technician,,1st year,monthly,20925,2024-01-01,
Media Industry,Junior Journalist / Photographer / Videographer / Audiovisual Editor / Radio Technician,,2nd year,monthly,21225,2024-01-01,
Media Industry,Junior Journalist / Photographer / Videographer / Audiovisual Editor / Radio Technician,,3rd year,monthly,21525,2024-01-01,
Media Industry,Junior Journalist / Photographer / Videographer / Audiovisual Editor / Radio Technician,,4th year,monthly,21825,2024-01-01,
Media Industry,Junior Journalist / Photographer / Videographer / Audiovisual Editor / Radio Technician,,5th year,monthly,22125,2024-01-01,
Media Industry,Junior Journalist / Photographer / Videographer / Audiovisual Editor / Radio Technician,,6th year,monthly,22425,2024-01-01,
Media Industry,Junior Journalist / Photographer / Videographer / Audiovisual Editor / Radio Technician,,7th year,monthly,22725,2024-01-01,
Media Industry,Junior Journalist / Photographer / Videographer / Audiovisual Editor / Radio Technician,,8th year,monthly,23025,2024-01-01,
Media Industry,Junior Journalist / Photographer / Videographer / Audiovisual Editor / Radio Technician,,9th year,monthly,23325,2024-01-01,
Media Industry,Junior Journalist / Photographer / Videographer / Audiovisual Editor / Radio Technician,,10th year,monthly,23625,2024-01-01,
Media Industry,Junior Journalist / Photographer / Videographer / Audiovisual Editor / Radio Technician,,11th year,monthly,23925,2024-01-01,
Media Industry,Junior Journalist / Photographer / Videographer / Audiovisual Editor / Radio Technician,,12th year,monthly,24225,2024-01-01,
Media Industry,Junior Journalist / Photographer / Videographer / Audiovisual Editor / Radio Technician,,13th year,monthly,24525,2024-01-01,
Media Industry,Junior Journalist / Photographer / Videographer / Audiovisual Editor / Radio Technician,,14th year,monthly,24825,2024-01-01,
Media Industry,Junior Journalist / Photographer / Videographer / Audiovisual Editor / Radio Technician,,15th year & thereafter,monthly,25125,2024-01-01,
Media Industry,Documentalist / Maquettiste,,1st year,monthly,20925,2024-01-01,
Media Industry,Documentalist / Maquettiste,,2nd year,monthly,21175,2024-01-01,
Media Industry,Documentalist / Maquettiste,,3rd year,monthly,21425,2024-01-01,
Media Industry,Documentalist / Maquettiste,,4th year,monthly,21675,2024-01-01,
Media Industry,Documentalist / Maquettiste,,5th year,monthly,21925,2024-01-01,
Media Industry,Documentalist / Maquettiste,,6th year,monthly,22175,2024-01-01,
Media Industry,Documentalist / Maquettiste,,7th year,monthly,22425,2024-01-01,
Media Industry,Documentalist / Maquettiste,,8th year,monthly,22675,2024-01-01,
Media Industry,Documentalist / Maquettiste,,9th year,monthly,22925,2024-01-01,
Media Industry,Documentalist / Maquettiste,,10th year & thereafter,monthly,23175,2024-01-01,
Media Industry,Proof Reader,,1st year,monthly,18732,2024-01-01,
Media Industry,Proof Reader,,2nd year,monthly,18882,2024-01-01,
Media Industry,Proof Reader,,3rd year,monthly,19032,2024-01-01,
Media Industry,Proof Reader,,4th year,monthly,19182,2024-01-01,
Media Industry,Proof Reader,,5th year,monthly,19332,2024-01-01,
Media Industry,Proof Reader,,6th year,monthly,19482,2024-01-01,
Media Industry,Proof Reader,,7th year,monthly,19632,2024-01-01,
Media Industry,Proof Reader,,8th year,monthly,19782,2024-01-01,
Media Industry,Proof Reader,,9th year,monthly,19932,2024-01-01,
Media Industry,Proof Reader,,10th year & thereafter,monthly,20082,2024-01-01,
Media Industry,Clerk / Word Processing Operator,,1st year,monthly,19425,2024-01-01,
Media Industry,Clerk / Word Processing Operator,,2nd year,monthly,19575,2024-01-01,
Media Industry,Clerk / Word Processing Operator,,3rd year,monthly,19725,2024-01-01,
Media Industry,Clerk / Word Processing Operator,,4th year,monthly,19875,2024-01-01,
Media Industry,Clerk / Word Processing Operator,,5th year,monthly,20025,2024-01-01,
Media Industry,Clerk / Word Processing Operator,,6th year,monthly,20175,2024-01-01,
Media Industry,Clerk / Word Processing Operator,,7th year,monthly,20325,2024-01-01,
Media Industry,Clerk / Word Processing Operator,,8th year,monthly,20475,2024-01-01,
Media Industry,Clerk / Word Processing Operator,,9th year,monthly,20625,2024-01-01,
Media Industry,Clerk / Word Processing Operator,,10th year & thereafter,monthly,20775,2024-01-01,
Media Industry,Assistant Documentalist,,1st year,monthly,18665,2024-01-01,
Media Industry,Assistant Documentalist,,2nd year,monthly,18815,2024-01-01,
Media Industry,Assistant Documentalist,,3rd year,monthly,18965,2024-01-01,
Media Industry,Assistant Documentalist,,4th year,monthly,19115,2024-01-01,
Media Industry,Assistant Documentalist,,5th year,monthly,19275,2024-01-01,
Media Industry,Assistant Documentalist,,6th year,monthly,19515,2024-01-01,
Media Industry,Assistant Documentalist,,7th year,monthly,19565,2024-01-01,
Media Industry,Assistant Documentalist,,8th year,monthly,19715,2024-01-01,
Media Industry,Assistant Documentalist,,9th year,monthly,19863,2024-01-01,
Media Industry,Assistant Documentalist,,10th year & thereafter,monthly,20013,2024-01-01,
Media Industry,Receptionist / Telephonist / Radio Switchboard Operator,,1st year,monthly,18425,2024-01-01,
Media Industry,Receptionist / Telephonist / Radio Switchboard Operator,,2nd year,monthly,18525,2024-01-01,
Media Industry,Receptionist / Telephonist / Radio Switchboard Operator,,3rd year,monthly,18625,2024-01-01,
Media Industry,Receptionist / Telephonist / Radio Switchboard Operator,,4th year,monthly,18725,2024-01-01,
Media Industry,Receptionist / Telephonist / Radio Switchboard Operator,,5th year,monthly,18825,2024-01-01,
Media Industry,Receptionist / Telephonist / Radio Switchboard Operator,,6th year,monthly,18925,2024-01-01,
Media Industry,Receptionist / Telephonist / Radio Switchboard Operator,,7th year,monthly,19025,2024-01-01,
Media Industry,Receptionist / Telephonist / Radio Switchboard Operator,,8th year,monthly,19125,2024-01-01,
Media Industry,Receptionist / Telephonist / Radio Switchboard Operator,,9th year,monthly,19225,2024-01-01,
Media Industry,Receptionist / Telephonist / Radio Switchboard Operator,,10th year & thereafter,monthly,19325,2024-01-01,
Media Industry,Advertising Sales Representative,,1st year,monthly,19425,2024-01-01,
Media Industry,Advertising Sales Representative,,2nd year,monthly,19625,2024-01-01,
Media Industry,Advertising Sales Representative,,3rd year,monthly,19825,2024-01-01,
Media Industry,Advertising Sales Representative,,4th year,monthly,20025,2024-01-01,
Media Industry,Advertising Sales Representative,,5th year & thereafter,monthly,19750,2024-01-01,
Printing Industry,Supervisor,,,monthly,25570,2024-01-01,
Printing Industry,Assistant Supervisor,,,monthly,24875,2024-01-01,
Printing Industry,Machine Operator / Operator,,,monthly,24605,2024-01-01,
Printing Industry,Quality Controller / Checker,,,monthly,23672,2024-01-01,
Printing Industry,Archivist,,,monthly,22253,2024-01-01,
Printing Industry,Layout Artist,,1st year,monthly,19636,2024-01-01,
Printing Industry,Layout Artist,,2nd year,monthly,19896,2024-01-01,
Printing Industry,Layout Artist,,3rd year,monthly,20155,2024-01-01,
Printing Industry,Layout Artist,,4th year,monthly,20414,2024-01-01,
Printing Industry,Layout Artist,,5th year,monthly,20673,2024-01-01,
Printing Industry,Layout Artist,,6th year,monthly,20933,2024-01-01,
Printing Industry,Layout Artist,,7th year,monthly,21192,2024-01-01,
Printing Industry,Layout Artist,,8th year,monthly,21451,2024-01-01,
Printing Industry,Layout Artist,,9th year,monthly,21710,2024-01-01,
Printing Industry,Layout Artist,,10th year & thereafter,monthly,21970,2024-01-01,
Printing Industry,Proof Reader,,1st year,monthly,19376,2024-01-01,
Printing Industry,Proof Reader,,2nd year,monthly,19635,2024-01-01,
Printing Industry,Proof Reader,,3rd year,monthly,19895,2024-01-01,
Printing Industry,Proof Reader,,4th year,monthly,20154,2024-01-01,
Printing Industry,Proof Reader,,5th year,monthly,20413,2024-01-01,
Printing Industry,Proof Reader,,6th year,monthly,20672,2024-01-01,
Printing Industry,Proof Reader,,7th year,monthly,20932,2024-01-01,
Printing Industry,Proof Reader,,8th year,monthly,21191,2024-01-01,
Printing Industry,Proof Reader,,9th year,monthly,21450,2024-01-01,
Printing Industry,Proof Reader,,10th year & thereafter,monthly,21709,2024-01-01,
Printing Industry,Cameraperson / Platemaker / Photoengraver / Photo-type Setter / Computer to Plate Operator,,1st year,monthly,19077,2024-01-01,
Printing Industry,Cameraperson / Platemaker / Photoengraver / Photo-type Setter / Computer to Plate Operator,,2nd year,monthly,19310,2024-01-01,
Printing Industry,Cameraperson / Platemaker / Photoengraver / Photo-type Setter / Computer to Plate Operator,,3rd year,monthly,19469,2024-01-01,
Printing Industry,Cameraperson / Platemaker / Photoengraver / Photo-type Setter / Computer to Plate Operator,,4th year,monthly,19729,2024-01-01,
Printing Industry,Cameraperson / Platemaker / Photoengraver / Photo-type Setter / Computer to Plate Operator,,5th year,monthly,19988,2024-01-01,
Printing Industry,Cameraperson / Platemaker / Photoengraver / Photo-type Setter / Computer to Plate Operator,,6th year,monthly,20247,2024-01-01,
Printing Industry,Cameraperson / Platemaker / Photoengraver / Photo-type Setter / Computer to Plate Operator,,7th year,monthly,20506,2024-01-01,
Printing Industry,Cameraperson / Platemaker / Photoengraver / Photo-type Setter / Computer to Plate Operator,,8th year,monthly,20766,2024-01-01,
Printing Industry,Cameraperson / Platemaker / Photoengraver / Photo-type Setter / Computer to Plate Operator,,9th year,monthly,21025,2024-01-01,
Printing Industry,Cameraperson / Platemaker / Photoengraver / Photo-type Setter / Computer to Plate Operator,,10th year & thereafter,monthly,21284,2024-01-01,
Printing Industry,Assistant Machine Operator,,,monthly,20210,2024-01-01,
Printing Industry,Binder / Cutter,,1st year,monthly,17790,2024-01-01,
Printing Industry,Binder / Cutter,,2nd year,monthly,17998,2024-01-01,
Printing Industry,Binder / Cutter,,3rd year,monthly,18205,2024-01-01,
Printing Industry,Binder / Cutter,,4th year,monthly,18313,2024-01-01,
Printing Industry,Binder / Cutter,,5th year,monthly,18546,2024-01-01,
Printing Industry,Binder / Cutter,,6th year,monthly,18779,2024-01-01,
Printing Industry,Binder / Cutter,,7th year,monthly,19012,2024-01-01,
Printing Industry,Binder / Cutter,,8th year,monthly,19246,2024-01-01,
Printing Industry,Binder / Cutter,,9th year,monthly,19405,2024-01-01,
Printing Industry,Binder / Cutter,,10th year & thereafter,monthly,19664,2024-01-01,
Printing Industry,Handyperson / Helper,,1st year,monthly,16710,2024-01-01,
Printing Industry,Handyperson / Helper,,2nd year,monthly,16885,2024-01-01,
Printing Industry,Handyperson / Helper,,3rd year,monthly,17060,2024-01-01,
Printing Industry,Handyperson / Helper,,4th year,monthly,17235,2024-01-01,
Printing Industry,Handyperson / Helper,,5th year & thereafter,monthly,17440,2024-01-01,
Printing Industry,Apprentice,,1st year,monthly,16910,2024-01-01,
Printing Industry,Apprentice,,2nd year,monthly,17085,2024-01-01,
Printing Industry,Apprentice,,3rd year,monthly,17260,2024-01-01,
Printing Industry,Apprentice,,4th year,monthly,17466,2024-01-01,
Printing Industry,Clerk / Receptionist / Telephonist / Typist / Secretary,,1st year,monthly,18090,2024-01-01,
Printing Industry,Clerk / Receptionist / Telephonist / Typist / Secretary,,2nd year,monthly,18297,2024-01-01,
Printing Industry,Clerk / Receptionist / Telephonist / Typist / Secretary,,3rd year,monthly,18431,2024-01-01,
Printing Industry,Clerk / Receptionist / Telephonist / Typist / Secretary,,4th year,monthly,18664,2024-01-01,
Printing Industry,Clerk / Receptionist / Telephonist / Typist / Secretary,,5th year,monthly,18897,2024-01-01,
Printing Industry,Clerk / Receptionist / Telephonist / Typist / Secretary,,6th year,monthly,19131,2024-01-01,
Printing Industry,Clerk / Receptionist / Telephonist / Typist / Secretary,,7th year,monthly,19364,2024-01-01,
Printing Industry,Clerk / Receptionist / Telephonist / Typist / Secretary,,8th year,monthly,19523,2024-01-01,
Printing Industry,Clerk / Receptionist / Telephonist / Typist / Secretary,,9th year,monthly,19783,2024-01-01,
Printing Industry,Clerk / Receptionist / Telephonist / Typist / Secretary,,10th year & thereafter,monthly,20042,2024-01-01,
Printing Industry,Storekeeper,,1st year,monthly,18478,2024-01-01,
Printing Industry,Storekeeper,,2nd year,monthly,18712,2024-01-01,
Printing Industry,Storekeeper,,3rd year,monthly,18945,2024-01-01,
Printing Industry,Storekeeper,,4th year,monthly,19178,2024-01-01,
Printing Industry,Storekeeper,,5th year,monthly,19412,2024-01-01,
Printing Industry,Storekeeper,,6th year,monthly,19571,2024-01-01,
Printing Industry,Storekeeper,,7th year,monthly,19830,2024-01-01,
Printing Industry,Storekeeper,,8th year,monthly,20089,2024-01-01,
Printing Industry,Storekeeper,,9th year,monthly,20349,2024-01-01,
Printing Industry,Storekeeper,,10th year & thereafter,monthly,20608,2024-01-01,
Printing Industry,Store Attendant,,1st year,monthly,17110,2024-01-01,
Printing Industry,Store Attendant,,2nd year,monthly,17285,2024-01-01,
Printing Industry,Store Attendant,,3rd year,monthly,17492,2024-01-01,
Printing Industry,Store Attendant,,4th year,monthly,17699,2024-01-01,
Printing Industry,Store Attendant,,5th year & thereafter,monthly,17906,2024-01-01,
Private Hospitals,Charge Nurse / Ward Sister,,,monthly,25000,2024-01-01,
Private Hospitals,Medical Laboratory Technician / Radiographer / Nurse / Dispenser,,1st year & thereafter,monthly,23000,2024-01-01,
Private Hospitals,Assistant Nurse,,1st year,monthly,17100,2024-01-01,
Private Hospitals,Assistant Nurse,,2nd year,monthly,17160,2024-01-01,
Private Hospitals,Assistant Nurse,,3rd year,monthly,17310,2024-01-01,
Private Hospitals,Assistant Nurse,,4th year,monthly,17455,2024-01-01,
Private Hospitals,Assistant Nurse,,5th year,monthly,17605,2024-01-01,
Private Hospitals,Assistant Nurse,,6th year,monthly,17799,2024-01-01,
Private Hospitals,Assistant Nurse,,7th year,monthly,17978,2024-01-01,
Private Hospitals,Assistant Nurse,,8th year,monthly,18185,2024-01-01,
Private Hospitals,Assistant Nurse,,9th year,monthly,18404,2024-01-01,
Private Hospitals,Assistant Nurse,,10th year & thereafter,monthly,18588,2024-01-01,
Private Hospitals,Midwife,,1st year,monthly,17277,2024-01-01,
Private Hospitals,Midwife,,2nd year,monthly,17422,2024-01-01,
Private Hospitals,Midwife,,3rd year,monthly,17565,2024-01-01,
Private Hospitals,Midwife,,4th year,monthly,17703,2024-01-01,
Private Hospitals,Midwife,,5th year,monthly,17827,2024-01-01,
Private Hospitals,Midwife,,6th year,monthly,18007,2024-01-01,
Private Hospitals,Midwife,,7th year,monthly,18213,2024-01-01,
Private Hospitals,Midwife,,8th year,monthly,18431,2024-01-01,
Private Hospitals,Midwife,,9th year,monthly,18615,2024-01-01,
Private Hospitals,Midwife,,10th year & thereafter,monthly,18860,2024-01-01,
Private Hospitals,Nursing Aid,,1st year,monthly,16853,2024-01-01,
Private Hospitals,Nursing Aid,,2nd year,monthly,17003,2024-01-01,
Private Hospitals,Nursing Aid,,3rd year,monthly,17100,2024-01-01,
Private Hospitals,Nursing Aid,,4th year,monthly,17100,2024-01-01,
Private Hospitals,Nursing Aid,,5th year,monthly,17100,2024-01-01,
Private Hospitals,Nursing Aid,,6th year,monthly,17236,2024-01-01,
Private Hospitals,Nursing Aid,,7th year,monthly,17455,2024-01-01,
Private Hospitals,Nursing Aid,,8th year,monthly,17667,2024-01-01,
Private Hospitals,Nursing Aid,,9th year,monthly,17855,2024-01-01,
Private Hospitals,Nursing Aid,,10th year & thereafter,monthly,18047,2024-01-01,
Private Hospitals,Driver,,,monthly,17455,2024-01-01,
Private Hospitals,Cook,,1st year,monthly,17100,2024-01-01,
Private Hospitals,Cook,,2nd year,monthly,17160,2024-01-01,
Private Hospitals,Cook,,3rd year and thereafter,monthly,17389,2024-01-01,
Private Hospitals,Receptionist,,1st year,monthly,17100,2024-01-01,
Private Hospitals,Receptionist,,2nd year,monthly,17100,2024-01-01,
Private Hospitals,Receptionist,,3rd year and thereafter,monthly,17236,2024-01-01,
Private Hospitals,Nursing Home Attendant / Launderer,,1st year,monthly,16500,2024-01-01,
Private Hospitals,Nursing Home Attendant / Launderer,,2nd year,monthly,16650,2024-01-01,
Private Hospitals,Nursing Home Attendant / Launderer,,3rd year,monthly,16800,2024-01-01,
Private Hospitals,Nursing Home Attendant / Launderer,,4th year,monthly,16950,2024-01-01,
Private Hospitals,Nursing Home Attendant / Launderer,,5th year and thereafter,monthly,17100,2024-01-01,
Private Hospitals,Gardener,,,monthly,17100,2024-01-01,
Private Hospitals,Kitchen Help,,1st year,monthly,16500,2024-01-01,
Private Hospitals,Kitchen Help,,2nd year,monthly,16650,2024-01-01,
Private Hospitals,Kitchen Help,,3rd year and thereafter,monthly,16800,2024-01-01,
Private Hospitals,Handyperson,,,monthly,17978,2024-01-01,
Private Secondary Schools,Principal,,,monthly,25000,2024-01-01,
Private Secondary Schools,Teacher,Graduate,1st year & thereafter,monthly,25000,2024-01-01,
Private Secondary Schools,Teacher,"Non-Graduate Grade I / II / III",1st year & thereafter,monthly,23000,2024-01-01,
Private Secondary Schools,Teacher,Non-Graduate Grade IV,1st year & thereafter,monthly,16500,2024-01-01,
Private Secondary Schools,Instructor,Grade I,1st year & thereafter,monthly,23000,2024-01-01,
Private Secondary Schools,Instructor,Grade II,1st year,monthly,16500,2024-01-01,
Private Secondary Schools,Instructor,Grade II,2nd year,monthly,16500,2024-01-01,
Private Secondary Schools,Instructor,Grade II,3rd year,monthly,16500,2024-01-01,
Private Secondary Schools,Instructor,Grade II,4th year,monthly,16500,2024-01-01,
Private Secondary Schools,Instructor,Grade II,5th year,monthly,16500,2024-01-01,
Private Secondary Schools,Instructor,Grade II,6th year,monthly,16563,2024-01-01,
Private Secondary Schools,Instructor,Grade II,7th year,monthly,16684,2024-01-01,
Private Secondary Schools,Instructor,Grade II,8th year,monthly,16823,2024-01-01,
Private Secondary Schools,Instructor,Grade II,9th year,monthly,16957,2024-01-01,
Private Secondary Schools,Instructor,Grade II,10th year,monthly,17062,2024-01-01,
Private Secondary Schools,Instructor,Grade II,11th year,monthly,17176,2024-01-01,
Private Secondary Schools,Instructor,Grade II,12th year,monthly,17382,2024-01-01,
Private Secondary Schools,Instructor,Grade II,13th year & thereafter,monthly,17560,2024-01-01,
Private Secondary Schools,Clerk / Typist / Secretary / Usher / Librarian / Laboratory Attendant / Workshop Attendant,,1st year & thereafter,monthly,16500,2024-01-01,
Private Secondary Schools,Caretaker / Cleaner / Gardener,,,monthly,16500,2024-01-01,
Pre-Primary Schools,Teacher Supervisor,,,monthly,18851,2024-01-01,
Pre-Primary Schools,Teacher,Grade I,1st year,monthly,17671,2024-01-01,
Pre-Primary Schools,Teacher,Grade I,2nd year,monthly,17770,2024-01-01,
Pre-Primary Schools,Teacher,Grade I,3rd year,monthly,17886,2024-01-01,
Pre-Primary Schools,Teacher,Grade I,4th year,monthly,17991,2024-01-01,
Pre-Primary Schools,Teacher,Grade I,5th year,monthly,18112,2024-01-01,
Pre-Primary Schools,Teacher,Grade I,6th year,monthly,18222,2024-01-01,
Pre-Primary Schools,Teacher,Grade I,7th year,monthly,18361,2024-01-01,
Pre-Primary Schools,Teacher,Grade I,8th year,monthly,18483,2024-01-01,
Pre-Primary Schools,Teacher,Grade I,9th year,monthly,18621,2024-01-01,
Pre-Primary Schools,Teacher,Grade I,10th year & thereafter,monthly,18744,2024-01-01,
Pre-Primary Schools,Teacher,Grade II,1st year,monthly,17100,2024-01-01,
Pre-Primary Schools,Teacher,Grade II,2nd year,monthly,17137,2024-01-01,
Pre-Primary Schools,Teacher,Grade II,3rd year,monthly,17261,2024-01-01,
Pre-Primary Schools,Teacher,Grade II,4th year,monthly,17361,2024-01-01,
Pre-Primary Schools,Teacher,Grade II,5th year,monthly,17462,2024-01-01,
Pre-Primary Schools,Teacher,Grade III,Less than 5 years,monthly,17100,2024-01-01,
Pre-Primary Schools,Teacher,Grade III,5 to 10 years,monthly,17100,2024-01-01,
Pre-Primary Schools,Teacher,Grade III,More than 10 years & thereafter,monthly,17313,2024-01-01,
Pre-Primary Schools,Cook,,,monthly,17100,2024-01-01,
Pre-Primary Schools,Gardener / Handyperson,,,monthly,16500,2024-01-01,
Pre-Primary Schools,School Attendant,,1st year,monthly,17100,2024-01-01,
Pre-Primary Schools,School Attendant,,2nd year,monthly,17100,2024-01-01,
Pre-Primary Schools,School Attendant,,3rd year,monthly,17100,2024-01-01,
Pre-Primary Schools,School Attendant,,4th year,monthly,17100,2024-01-01,
Pre-Primary Schools,School Attendant,,5th year & thereafter,monthly,17100,2024-01-01,
Road Haulage,Tanker Driver,,1st year,monthly,18759,2024-01-01,
Road Haulage,Tanker Driver,,2nd year,monthly,18874,2024-01-01,
Road Haulage,Tanker Driver,,3rd year,monthly,19062,2024-01-01,
Road Haulage,Tanker Driver,,4th year,monthly,19250,2024-01-01,
Road Haulage,Tanker Driver,,5th year,monthly,19464,2024-01-01,
Road Haulage,Tanker Driver,,6th year,monthly,19679,2024-01-01,
Road Haulage,Tanker Driver,,7th year,monthly,19894,2024-01-01,
Road Haulage,Tanker Driver,,8th year & thereafter,monthly,20008,2024-01-01,
Road Haulage,Tanker Driver's Assistant,,1st year,monthly,16500,2024-01-01,
Road Haulage,Tanker Driver's Assistant,,2nd year,monthly,16650,2024-01-01,
Road Haulage,Tanker Driver's Assistant,,3rd year,monthly,16800,2024-01-01,
Road Haulage,Tanker Driver's Assistant,,4th year,monthly,16950,2024-01-01,
Road Haulage,Tanker Driver's Assistant,,5th year,monthly,17100,2024-01-01,
Road Haulage,Tanker Driver's Assistant,,6th year,monthly,17221,2024-01-01,
Road Haulage,Tanker Driver's Assistant,,7th year,monthly,17394,2024-01-01,
Road Haulage,Tanker Driver's Assistant,,8th year & thereafter,monthly,17565,2024-01-01,
Road Haulage,Driver,Grade I,1st year,monthly,18007,2024-01-01,
Road Haulage,Driver,Grade I,2nd year,monthly,18202,2024-01-01,
Road Haulage,Driver,Grade I,3rd year,monthly,18389,2024-01-01,
Road Haulage,Driver,Grade I,4th year,monthly,18574,2024-01-01,
Road Haulage,Driver,Grade I,5th year,monthly,18759,2024-01-01,
Road Haulage,Driver,Grade I,6th year,monthly,18852,2024-01-01,
Road Haulage,Driver,Grade I,7th year,monthly,19040,2024-01-01,
Road Haulage,Driver,Grade I,8th year & thereafter,monthly,19228,2024-01-01,
Road Haulage,Driver,Grade II,1st year,monthly,17711,2024-01-01,
Road Haulage,Driver,Grade II,2nd year,monthly,17873,2024-01-01,
Road Haulage,Driver,Grade II,3rd year,monthly,18041,2024-01-01,
Road Haulage,Driver,Grade II,4th year,monthly,18207,2024-01-01,
Road Haulage,Driver,Grade II,5th year,monthly,18368,2024-01-01,
Road Haulage,Driver,Grade II,6th year,monthly,18555,2024-01-01,
Road Haulage,Driver,Grade II,7th year,monthly,18743,2024-01-01,
Road Haulage,Driver,Grade II,8th year & thereafter,monthly,18832,2024-01-01,
Road Haulage,Driver,Grade III,1st year,monthly,17452,2024-01-01,
Road Haulage,Driver,Grade III,2nd year,monthly,17619,2024-01-01,
Road Haulage,Driver,Grade III,3rd year,monthly,17781,2024-01-01,
Road Haulage,Driver,Grade III,4th year,monthly,17945,2024-01-01,
Road Haulage,Driver,Grade III,5th year,monthly,18112,2024-01-01,
Road Haulage,Driver,Grade III,6th year,monthly,18276,2024-01-01,
Road Haulage,Driver,Grade III,7th year,monthly,18464,2024-01-01,
Road Haulage,Driver,Grade III,8th year & thereafter,monthly,18652,2024-01-01,
Road Haulage,Vehicle Assistant,,1st year,monthly,16930,2024-01-01,
Road Haulage,Vehicle Assistant,,2nd year,monthly,17090,2024-01-01,
Road Haulage,Vehicle Assistant,,3rd year,monthly,17238,2024-01-01,
Road Haulage,Vehicle Assistant,,4th year,monthly,17410,2024-01-01,
Road Haulage,Vehicle Assistant,,5th year,monthly,17580,2024-01-01,
Road Haulage,Vehicle Assistant,,6th year,monthly,17744,2024-01-01,
Road Haulage,Vehicle Assistant,,7th year,monthly,17905,2024-01-01,
Road Haulage,Vehicle Assistant,,8th year & thereafter,monthly,18074,2024-01-01,
Security Services,Security Guard,,1st year,monthly,17934,2024-01-01,
Security Services,Security Guard,,2nd year,monthly,18049,2024-01-01,
Security Services,Security Guard,,3rd year,monthly,18164,2024-01-01,
Security Services,Security Guard,,4th year,monthly,18279,2024-01-01,
